DEP;TYPEQU;NB_2015;NB_2020
01;A101;2;2
01;A104;46;42
01;A105;0;0
01;A106;1;1
01;A107;4;4
01;A108;3;3
01;A109;1;1
01;A122;12;12
01;A124;1;1
01;A125;0;0
01;A203;295;275
01;A205;74;82
01;A206;90;66
01;A207;53;68
01;A208;49;55
01;A301;928;1255
01;A302;73;84
01;A303;51;51
01;A304;164;177
01;A401;895;1072
01;A402;1031;1285
01;A403;1018;1244
01;A404;891;1083
01;A405;797;941
01;A406;223;253
01;A501;827;919
01;A502;128;143
01;A503;100;144
01;A504;1483;1791
01;A505;430;819
01;A506;86;95
01;A507;539;625
01;B101;15;12
01;B102;98;120
01;B103;45;41
01;B201;54;38
01;B202;177;188
01;B203;400;411
01;B204;213;223
01;B205;13;13
01;B206;7;10
01;B301;115;96
01;B302;434;474
01;B303;93;92
01;B304;79;73
01;B305;70;66
01;B306;130;139
01;B307;96;102
01;B308;11;8
01;B309;61;59
01;B310;49;62
01;B311;52;52
01;B312;173;196
01;B313;116;132
01;C303;10;10
01;C505;0;0
01;D101;12;13
01;D102;21;22
01;D103;7;7
01;D104;8;7
01;D105;0;0
01;D106;5;5
01;D107;4;4
01;D108;10;11
01;D110;6;6
01;D111;4;4
01;D112;2;3
01;D201;448;442
01;D202;23;39
01;D203;12;7
01;D206;9;8
01;D207;19;20
01;D208;28;27
01;D209;16;13
01;D210;16;9
01;D211;6;9
01;D213;4;4
01;D214;20;24
01;D221;326;318
01;D231;56;72
01;D232;715;880
01;D233;447;509
01;D235;176;179
01;D236;17;20
01;D238;20;22
01;D239;11;18
01;D240;19;40
01;D302;28;28
01;D303;69;79
01;D304;2;3
01;D305;1;1
01;D401;111;112
01;D601;21;23
01;D602;20;25
01;D603;39;38
01;D605;21;21
01;D703;5;5
01;D704;1;2
01;D705;3;3
01;E01G;38;38
01;E101;238;334
01;E102;0;0
01;F101;38;36
01;F102;393;393
01;F103;212;208
01;F104;1;0
01;F105;9;9
01;F106;68;91
01;F107;79;79
01;F108;17;17
01;F109;25;25
01;F110;1;1
01;F111;354;351
01;F112;91;86
01;F113;336;335
01;F114;64;65
01;F116;223;221
01;F117;55;57
01;F118;22;24
01;F120;41;39
01;F121;143;145
01;F202;4;4
01;F305;5;5
01;G101;52;64
01;G102;164;153
01;G103;63;63
01;G104;68;84
02;A101;7;7
02;A104;39;37
02;A105;0;0
02;A106;3;3
02;A107;3;3
02;A108;3;3
02;A109;2;2
02;A122;10;10
02;A124;0;0
02;A125;0;0
02;A203;176;163
02;A205;92;84
02;A206;93;84
02;A207;19;11
02;A208;70;78
02;A301;553;766
02;A302;61;65
02;A303;36;37
02;A304;120;122
02;A401;700;756
02;A402;483;536
02;A403;504;529
02;A404;817;890
02;A405;447;475
02;A406;241;261
02;A501;715;737
02;A502;89;94
02;A503;52;68
02;A504;887;1024
02;A505;263;396
02;A506;55;60
02;A507;286;336
02;B101;18;17
02;B102;110;112
02;B103;33;32
02;B201;24;24
02;B202;133;148
02;B203;361;340
02;B204;154;142
02;B205;12;11
02;B206;9;14
02;B301;99;87
02;B302;373;375
02;B303;60;51
02;B304;64;50
02;B305;49;40
02;B306;75;75
02;B307;73;62
02;B308;14;12
02;B309;57;46
02;B310;53;55
02;B311;50;44
02;B312;174;184
02;B313;96;100
02;C303;8;7
02;C505;0;0
02;D101;13;12
02;D102;12;13
02;D103;7;6
02;D104;20;20
02;D105;0;0
02;D106;8;8
02;D107;6;6
02;D108;7;16
02;D110;3;3
02;D111;8;9
02;D112;6;5
02;D201;433;382
02;D202;19;19
02;D203;18;14
02;D206;14;26
02;D207;24;28
02;D208;31;20
02;D209;16;17
02;D210;16;13
02;D211;7;15
02;D213;3;4
02;D214;20;20
02;D221;223;211
02;D231;25;47
02;D232;651;795
02;D233;299;277
02;D235;88;97
02;D236;7;6
02;D238;13;19
02;D239;2;5
02;D240;3;10
02;D302;21;21
02;D303;77;66
02;D304;2;3
02;D305;0;0
02;D401;79;77
02;D601;22;23
02;D602;24;26
02;D603;42;49
02;D605;18;18
02;D703;8;8
02;D704;0;0
02;D705;2;3
02;E01G;48;43
02;E101;156;217
02;E102;0;0
02;F101;24;24
02;F102;442;438
02;F103;169;169
02;F104;4;2
02;F105;0;0
02;F106;47;45
02;F107;40;47
02;F108;5;6
02;F109;37;37
02;F110;2;2
02;F111;243;250
02;F112;58;56
02;F113;390;393
02;F114;39;40
02;F116;222;220
02;F117;31;26
02;F118;4;4
02;F120;39;42
02;F121;125;124
02;F202;4;4
02;F305;3;3
02;G101;22;26
02;G102;67;63
02;G103;24;29
02;G104;35;45
03;A101;5;5
03;A104;29;26
03;A105;0;0
03;A106;3;3
03;A107;3;3
03;A108;3;3
03;A109;2;2
03;A122;6;5
03;A124;1;1
03;A125;0;0
03;A203;191;175
03;A205;72;74
03;A206;88;60
03;A207;22;27
03;A208;72;98
03;A301;432;580
03;A302;53;58
03;A303;19;24
03;A304;87;90
03;A401;423;454
03;A402;464;502
03;A403;453;464
03;A404;526;578
03;A405;360;369
03;A406;117;117
03;A501;512;524
03;A502;91;104
03;A503;42;53
03;A504;894;965
03;A505;196;221
03;A506;51;55
03;A507;189;211
03;B101;11;11
03;B102;68;66
03;B103;29;28
03;B201;57;51
03;B202;136;146
03;B203;303;294
03;B204;136;137
03;B205;11;8
03;B206;11;9
03;B301;118;107
03;B302;352;344
03;B303;80;85
03;B304;61;60
03;B305;49;45
03;B306;71;71
03;B307;58;56
03;B308;12;11
03;B309;49;52
03;B310;29;45
03;B311;55;43
03;B312;129;138
03;B313;75;83
03;C303;7;7
03;C505;0;0
03;D101;8;8
03;D102;8;9
03;D103;4;4
03;D104;9;13
03;D105;0;0
03;D106;2;4
03;D107;3;3
03;D108;7;8
03;D110;1;1
03;D111;4;6
03;D112;4;3
03;D201;326;290
03;D202;10;19
03;D203;10;8
03;D206;10;10
03;D207;16;12
03;D208;25;21
03;D209;8;8
03;D210;2;4
03;D211;5;5
03;D213;2;2
03;D214;16;11
03;D221;185;177
03;D231;14;35
03;D232;515;585
03;D233;326;334
03;D235;40;44
03;D236;14;18
03;D238;7;8
03;D239;3;5
03;D240;3;6
03;D302;18;20
03;D303;55;53
03;D304;1;2
03;D305;3;3
03;D401;61;63
03;D601;13;16
03;D602;12;16
03;D603;25;27
03;D605;14;14
03;D703;3;3
03;D704;0;1
03;D705;2;4
03;E01G;19;19
03;E101;118;124
03;E102;0;0
03;F101;27;25
03;F102;170;169
03;F103;136;134
03;F104;4;4
03;F105;2;2
03;F106;31;37
03;F107;19;15
03;F108;8;8
03;F109;18;16
03;F110;0;0
03;F111;98;102
03;F112;57;54
03;F113;249;247
03;F114;31;30
03;F116;145;144
03;F117;22;21
03;F118;10;10
03;F120;31;30
03;F121;92;92
03;F202;0;0
03;F305;3;3
03;G101;24;25
03;G102;123;109
03;G103;63;72
03;G104;29;36
04;A101;1;1
04;A104;29;28
04;A105;0;0
04;A106;1;1
04;A107;2;2
04;A108;1;1
04;A109;1;1
04;A122;4;4
04;A124;0;0
04;A125;2;2
04;A203;97;89
04;A205;68;61
04;A206;53;46
04;A207;2;8
04;A208;42;46
04;A301;255;339
04;A302;26;28
04;A303;21;20
04;A304;46;46
04;A401;746;791
04;A402;274;335
04;A403;295;346
04;A404;313;324
04;A405;280;360
04;A406;69;75
04;A501;273;297
04;A502;49;54
04;A503;193;260
04;A504;884;1029
04;A505;175;181
04;A506;33;33
04;A507;160;188
04;B101;6;6
04;B102;35;36
04;B103;12;16
04;B201;23;26
04;B202;134;160
04;B203;176;187
04;B204;78;83
04;B205;4;6
04;B206;6;5
