,DEP,TYPEQU,NB_2015
32,01,Hypermarché,15
159,02,Hypermarché,18
286,03,Hypermarché,11
413,04,Hypermarché,6
540,05,Hypermarché,4
667,06,Hypermarché,21
794,07,Hypermarché,7
921,08,Hypermarché,7
1048,09,Hypermarché,5
1175,10,Hypermarché,10
1302,11,Hypermarché,13
1429,12,Hypermarché,6
1556,13,Hypermarché,37
1683,14,Hypermarché,26
1810,15,Hypermarché,4
1937,16,Hypermarché,14
2064,17,Hypermarché,26
2191,18,Hypermarché,5
2318,19,Hypermarché,7
2445,21,Hypermarché,19
2572,22,Hypermarché,28
2699,23,Hypermarché,3
2826,24,Hypermarché,14
2953,25,Hypermarché,18
3080,26,Hypermarché,18
3207,27,Hypermarché,19
3334,28,Hypermarché,16
3461,29,Hypermarché,41
3588,2A,Hypermarché,4
3715,2B,Hypermarché,6
3842,30,Hypermarché,23
3969,31,Hypermarché,31
4096,32,Hypermarché,6
4223,33,Hypermarché,43
4350,34,Hypermarché,35
4477,35,Hypermarché,48
4604,36,Hypermarché,7
4731,37,Hypermarché,19
4858,38,Hypermarché,22
4985,39,Hypermarché,7
5112,40,Hypermarché,20
5239,41,Hypermarché,7
5366,42,Hypermarché,15
5493,43,Hypermarché,6
5620,44,Hypermarché,54
5747,45,Hypermarché,14
5874,46,Hypermarché,4
6001,47,Hypermarché,19
6128,48,Hypermarché,1
6255,49,Hypermarché,28
6382,50,Hypermarché,18
6509,51,Hypermarché,18
6636,52,Hypermarché,10
6763,53,Hypermarché,12
6890,54,Hypermarché,25
7017,55,Hypermarché,8
7144,56,Hypermarché,26
7271,57,Hypermarché,34
7398,58,Hypermarché,8
7525,59,Hypermarché,59
7652,60,Hypermarché,32
7779,61,Hypermarché,12
7906,62,Hypermarché,36
8033,63,Hypermarché,11
8160,64,Hypermarché,17
8287,65,Hypermarché,6
8414,66,Hypermarché,13
8541,67,Hypermarché,32
8668,68,Hypermarché,32
8795,69,Hypermarché,28
8922,70,Hypermarché,8
9049,71,Hypermarché,17
9176,72,Hypermarché,22
9303,73,Hypermarché,13
9430,74,Hypermarché,16
9557,75,Hypermarché,18
9684,76,Hypermarché,30
9811,77,Hypermarché,31
9938,78,Hypermarché,25
10065,79,Hypermarché,18
10192,80,Hypermarché,16
10319,81,Hypermarché,15
10446,82,Hypermarché,9
10573,83,Hypermarché,22
10700,84,Hypermarché,17
10827,85,Hypermarché,39
10954,86,Hypermarché,13
11081,87,Hypermarché,11
11208,88,Hypermarché,14
11335,89,Hypermarché,16
11462,90,Hypermarché,6
11589,91,Hypermarché,28
11716,92,Hypermarché,24
11843,93,Hypermarché,28
11970,94,Hypermarché,19
12097,95,Hypermarché,22
12224,971,Hypermarché,4
12351,972,Hypermarché,11
12478,973,Hypermarché,3
12605,974,Hypermarché,15
33,01,Supermarché,98
160,02,Supermarché,110
287,03,Supermarché,68
414,04,Supermarché,35
541,05,Supermarché,30
668,06,Supermarché,159
795,07,Supermarché,54
922,08,Supermarché,73
1049,09,Supermarché,43
1176,10,Supermarché,54
1303,11,Supermarché,62
1430,12,Supermarché,55
1557,13,Supermarché,283
1684,14,Supermarché,158
1811,15,Supermarché,21
1938,16,Supermarché,62
2065,17,Supermarché,119
2192,18,Supermarché,63
2319,19,Supermarché,65
2446,21,Supermarché,111
2573,22,Supermarché,125
2700,23,Supermarché,27
2827,24,Supermarché,92
2954,25,Supermarché,98
3081,26,Supermarché,78
3208,27,Supermarché,107
3335,28,Supermarché,89
3462,29,Supermarché,169
3589,2A,Supermarché,33
3716,2B,Supermarché,24
3843,30,Supermarché,127
3970,31,Supermarché,215
4097,32,Supermarché,46
4224,33,Supermarché,245
4351,34,Supermarché,179
4478,35,Supermarché,151
4605,36,Supermarché,46
4732,37,Supermarché,93
4859,38,Supermarché,167
4986,39,Supermarché,72
5113,40,Supermarché,86
5240,41,Supermarché,52
5367,42,Supermarché,121
5494,43,Supermarché,40
5621,44,Supermarché,164
5748,45,Supermarché,121
5875,46,Supermarché,39
6002,47,Supermarché,66
6129,48,Supermarché,12
6256,49,Supermarché,113
6383,50,Supermarché,105
6510,51,Supermarché,95
6637,52,Supermarché,42
6764,53,Supermarché,49
6891,54,Supermarché,139
7018,55,Supermarché,45
7145,56,Supermarché,153
7272,57,Supermarché,214
7399,58,Supermarché,51
7526,59,Supermarché,493
7653,60,Supermarché,133
7780,61,Supermarché,51
7907,62,Supermarché,327
8034,63,Supermarché,109
8161,64,Supermarché,118
8288,65,Supermarché,48
8415,66,Supermarché,99
8542,67,Supermarché,211
8669,68,Supermarché,138
8796,69,Supermarché,216
8923,70,Supermarché,54
9050,71,Supermarché,123
9177,72,Supermarché,109
9304,73,Supermarché,67
9431,74,Supermarché,124
9558,75,Supermarché,496
9685,76,Supermarché,207
9812,77,Supermarché,211
9939,78,Supermarché,172
10066,79,Supermarché,53
10193,80,Supermarché,127
10320,81,Supermarché,64
10447,82,Supermarché,58
10574,83,Supermarché,166
10701,84,Supermarché,88
10828,85,Supermarché,83
10955,86,Supermarché,68
11082,87,Supermarché,84
11209,88,Supermarché,93
11336,89,Supermarché,63
11463,90,Supermarché,21
11590,91,Supermarché,175
11717,92,Supermarché,223
11844,93,Supermarché,170
11971,94,Supermarché,184
12098,95,Supermarché,140
12225,971,Supermarché,53
12352,972,Supermarché,43
12479,973,Supermarché,9
12606,974,Supermarché,85
57,01,Etablissement sante moyen sejour,21
184,02,Etablissement sante moyen sejour,12
311,03,Etablissement sante moyen sejour,8
438,04,Etablissement sante moyen sejour,13
565,05,Etablissement sante moyen sejour,16
692,06,Etablissement sante moyen sejour,36
819,07,Etablissement sante moyen sejour,20
946,08,Etablissement sante moyen sejour,14
1073,09,Etablissement sante moyen sejour,7
1200,10,Etablissement sante moyen sejour,6
1327,11,Etablissement sante moyen sejour,12
1454,12,Etablissement sante moyen sejour,13
1581,13,Etablissement sante moyen sejour,59
1708,14,Etablissement sante moyen sejour,21
1835,15,Etablissement sante moyen sejour,8
1962,16,Etablissement sante moyen sejour,10
2089,17,Etablissement sante moyen sejour,21
2216,18,Etablissement sante moyen sejour,8
2343,19,Etablissement sante moyen sejour,6
2470,21,Etablissement sante moyen sejour,16
2597,22,Etablissement sante moyen sejour,16
2724,23,Etablissement sante moyen sejour,7
2851,24,Etablissement sante moyen sejour,17
2978,25,Etablissement sante moyen sejour,13
3105,26,Etablissement sante moyen sejour,14
3232,27,Etablissement sante moyen sejour,18
3359,28,Etablissement sante moyen sejour,13
3486,29,Etablissement sante moyen sejour,28
3613,2A,Etablissement sante moyen sejour,7
3740,2B,Etablissement sante moyen sejour,4
3867,30,Etablissement sante moyen sejour,22
3994,31,Etablissement sante moyen sejour,36
4121,32,Etablissement sante moyen sejour,11
4248,33,Etablissement sante moyen sejour,35
4375,34,Etablissement sante moyen sejour,38
4502,35,Etablissement sante moyen sejour,29
4629,36,Etablissement sante moyen sejour,9
4756,37,Etablissement sante moyen sejour,15
4883,38,Etablissement sante moyen sejour,24
5010,39,Etablissement sante moyen sejour,13
5137,40,Etablissement sante moyen sejour,12
5264,41,Etablissement sante moyen sejour,11
5391,42,Etablissement sante moyen sejour,27
5518,43,Etablissement sante moyen sejour,11
5645,44,Etablissement sante moyen sejour,34
5772,45,Etablissement sante moyen sejour,17
5899,46,Etablissement sante moyen sejour,10
6026,47,Etablissement sante moyen sejour,16
6153,48,Etablissement sante moyen sejour,9
6280,49,Etablissement sante moyen sejour,27
6407,50,Etablissement sante moyen sejour,20
6534,51,Etablissement sante moyen sejour,16
6661,52,Etablissement sante moyen sejour,7
6788,53,Etablissement sante moyen sejour,10
6915,54,Etablissement sante moyen sejour,25
7042,55,Etablissement sante moyen sejour,5
7169,56,Etablissement sante moyen sejour,21
7296,57,Etablissement sante moyen sejour,32
7423,58,Etablissement sante moyen sejour,14
7550,59,Etablissement sante moyen sejour,67
7677,60,Etablissement sante moyen sejour,26
7804,61,Etablissement sante moyen sejour,16
7931,62,Etablissement sante moyen sejour,34
8058,63,Etablissement sante moyen sejour,22
8185,64,Etablissement sante moyen sejour,32
8312,65,Etablissement sante moyen sejour,9
8439,66,Etablissement sante moyen sejour,25
8566,67,Etablissement sante moyen sejour,30
8693,68,Etablissement sante moyen sejour,31
8820,69,Etablissement sante moyen sejour,51
8947,70,Etablissement sante moyen sejour,7
9074,71,Etablissement sante moyen sejour,24
9201,72,Etablissement sante moyen sejour,17
9328,73,Etablissement sante moyen sejour,14
9455,74,Etablissement sante moyen sejour,15
9582,75,Etablissement sante moyen sejour,30
9709,76,Etablissement sante moyen sejour,37
9836,77,Etablissement sante moyen sejour,22
9963,78,Etablissement sante moyen sejour,30
10090,79,Etablissement sante moyen sejour,10
10217,80,Etablissement sante moyen sejour,16
10344,81,Etablissement sante moyen sejour,13
10471,82,Etablissement sante moyen sejour,8
10598,83,Etablissement sante moyen sejour,28
10725,84,Etablissement sante moyen sejour,18
10852,85,Etablissement sante moyen sejour,16
10979,86,Etablissement sante moyen sejour,11
11106,87,Etablissement sante moyen sejour,11
11233,88,Etablissement sante moyen sejour,20
11360,89,Etablissement sante moyen sejour,11
11487,90,Etablissement sante moyen sejour,2
11614,91,Etablissement sante moyen sejour,27
11741,92,Etablissement sante moyen sejour,33
11868,93,Etablissement sante moyen sejour,28
11995,94,Etablissement sante moyen sejour,18
12122,95,Etablissement sante moyen sejour,27
12249,971,Etablissement sante moyen sejour,18
12376,972,Etablissement sante moyen sejour,13
12503,973,Etablissement sante moyen sejour,4
12630,974,Etablissement sante moyen sejour,20
63,01,Centre de sante,10
190,02,Centre de sante,7
317,03,Centre de sante,7
444,04,Centre de sante,11
571,05,Centre de sante,5
698,06,Centre de sante,25
825,07,Centre de sante,6
952,08,Centre de sante,1
1079,09,Centre de sante,3
1206,10,Centre de sante,11
1333,11,Centre de sante,4
1460,12,Centre de sante,36
1587,13,Centre de sante,71
1714,14,Centre de sante,16
1841,15,Centre de sante,5
1968,16,Centre de sante,7
2095,17,Centre de sante,10
2222,18,Centre de sante,6
2349,19,Centre de sante,18
2476,21,Centre de sante,12
2603,22,Centre de sante,8
2730,23,Centre de sante,1
2857,24,Centre de sante,3
2984,25,Centre de sante,34
3111,26,Centre de sante,18
3238,27,Centre de sante,20
3365,28,Centre de sante,9
3492,29,Centre de sante,37
3619,2A,Centre de sante,2
