,DEP,Automobile,Banque,Construction,Grande surface,Infrastructure sportive,Justice,Magasin de consommation,Petite surface,Sante,Tourisme,Transport,Population en 2018,Littoral,Frontiere,Salaire Moyen,Chômage moyen T1_2016
0,01,1216,295,4855,158,2181,57,1089,864,2788,385,276,634390.7465020162,0,1,21830,7.4
1,02,770,176,3192,161,1928,57,864,693,2297,196,204,522698.3406697384,0,1,20230,13.9
2,03,591,191,2343,108,1153,45,850,654,1794,258,137,326606.9687183948,0,0,19390,10.8
3,04,348,97,1977,53,607,35,549,421,1194,329,86,160093.628693414,0,1,19180,11.6
4,05,285,98,1523,46,979,27,675,399,1168,415,99,136519.25498874,0,1,17690,9.4
5,06,2457,636,17085,246,1495,60,4599,2431,9187,1296,1431,1060706.1297484208,1,1,22220,10.5
6,07,616,153,3076,87,1007,48,687,709,1837,537,139,317834.9292313902,0,0,19620,10.7
7,08,473,108,1908,98,1109,43,482,420,1476,155,148,266427.2503260516,0,1,20150,12.1
8,09,294,78,1758,62,648,27,333,341,1033,209,67,148817.08210509492,0,1,19030,12.2
9,10,496,138,2120,88,814,34,750,449,1325,149,105,301921.47281818354,0,0,20030,12.7
10,11,697,147,3726,109,1290,45,961,918,2465,372,204,363927.4269126557,1,0,18010,13.6
11,12,622,161,2753,112,1130,54,726,619,1874,458,97,270109.4699164201,0,0,18910,7.4
12,13,3509,1036,18049,415,2688,66,6281,3801,18111,1128,1623,2828749.6152308667,1,0,22440,11.7
13,14,1046,361,5053,229,1845,56,1763,1202,3176,563,206,676507.1536855691,1,0,20560,9.7
14,15,290,113,1271,44,612,32,386,410,867,278,92,139872.13857608574,0,0,18370,6.4
15,16,701,190,2979,111,1094,36,755,562,1557,170,115,342497.8899803847,0,0,20250,10.0
16,17,1214,338,6227,220,2056,57,2087,1408,3534,779,248,631428.0023534729,1,0,19390,10.7
17,18,463,185,2191,90,982,34,538,509,1227,178,139,295168.9825917402,0,0,20360,10.6
18,19,534,178,2113,95,946,40,678,483,1458,295,132,231988.94184902788,0,0,19840,8.4
19,21,832,339,3627,164,1422,45,1157,656,2732,457,255,517314.8552899058,1,0,19080,8.7
20,22,946,309,4283,201,2052,57,1346,984,3197,480,213,584582.0911611288,1,0,18460,9.2
